Name,Latitude,Longitude,DistanceFromTrail(feet),Bearing(degrees),DistanceAlongTrail(miles),Source CSV,Row Number,ResupplyCityLat,ResupplyCityLong,MilestoTown,RouteID
Glenwood Horse Trail Alternate Loop,37.42491957753491,-79.75743545,track,2007649,3004F,crossing.csv,,,,,
Glenwood Road,41.248138,-74.497864,tertiary,2007688,CR 565,crossing.csv,,,,,
Golden Road,45.83514099999999,-68.9636861,tertiary,2007932,,crossing.csv,,,,,
Golden Road,45.835292798755475,-68.96968433,tertiary,2007932,,crossing.csv,,,,,
Goldsmith Lane,41.30448327779646,-74.58191522,residential,2007688,,crossing.csv,,,,,
Goldsmith Road,41.30781900000001,-74.586641,residential,2007688,,crossing.csv,,,,,
Goodrich Road,41.31030529145498,-74.59322762,residential,2007688,,crossing.csv,,,,,
Goose Pond Road,43.753338799999995,-72.1245751,tertiary,2007646,,crossing.csv,,,,,
Goose Pond Road,42.2744233,-73.1842923,residential,2991960,,crossing.csv,,,,,
Grafton Turnpike,43.792658,-72.103123,unclassified,2007646,,crossing.csv,,,,,
Grange Hall Road,42.45642722,-73.16176,tertiary,2991960,,crossing.csv,,,,,
Grape Hollow Road,41.5442546,-73.7137407,residential,2007688,,crossing.csv,,,,,
Grassy Ridge Road,36.649815612662856,-81.66350119,residential,2007649,SR 859,crossing.csv,,,,,
Graymoor Village Road,41.352482382915206,-73.91970734,service,2007688,,crossing.csv,,,,,
Green Corner Road,35.78330609999999,-83.1092759,residential,2007647,,crossing.csv,,,,,
Green Corner Road,35.783099899999996,-83.1021685,residential,2007647,,crossing.csv,,,,,
Green Point School Road,40.490146703196054,-76.55135651,unclassified,394916,,crossing.csv,,,,,
Green Street,40.39387698782788,-77.02954785,residential,394916,,crossing.csv,,,,,
Greenville Road,41.32866769999999,-74.6432026,secondary,2007688,CR 519,crossing.csv,,,,,
Greenville Road,45.33122238328835,-69.53586565,primary,2007932,ME 6;ME 15,crossing.csv,,,,,
Grigg's Mountain Road,43.7186947,-72.3940633,track,392991,,crossing.csv,,,,,
Gulf Road,42.48166080000002,-73.1782695,residential,2991960,,crossing.csv,,,,,
Hangtown Road,45.27394935930838,-69.94500453,service,2007932,,crossing.csv,,,,,
Harper Savage Lane,43.7134551,-72.4166269,residential,392991,,crossing.csv,,,,,
Harr Road,36.5744768,-81.9152228,track,2007647,FS 69,crossing.csv,,,,,
Harry Byrd Highway,39.11601219999999,-77.8527292,trunk,2007649,VA 7,crossing.csv,,,,,
Haunted Hollow Road,39.9602544,-77.4822295,track,394916,,crossing.csv,,,,,
Hawk Mountain Road,40.63385212,-75.96071032,tertiary,394916,,crossing.csv,,,,,
Hercules Road,37.59702982461383,-79.38990189,track,2007649,FR 36;SR 812,crossing.csv,,,,,
Hercules Road,37.60500248246447,-79.38809562,track,2007649,FR 36;SR 812,crossing.csv,,,,,
Hickory Ridge Road,43.710990485072074,-72.32293679,residential,392991,,crossing.csv,,,,,
Hickory Street,40.39559338000486,-77.02790365,residential,394916,,crossing.csv,,,,,
High Street,40.39628638279712,-77.0270488,residential,394916,,crossing.csv,,,,,
High Street,43.9980637,-71.8822884,residential,2007646,,crossing.csv,,,,,
High Street,42.4805853,-73.1752679,tertiary,2991960,,crossing.csv,,,,,
Hightop Hut Access Road,38.330999825247666,-78.55982229,track,2007649,,crossing.csv,,,,,
Hogan Road,44.4041474,-71.1201659,residential,2007646,,crossing.csv,,,,,
Home Road,42.154894991252995,-73.34125578,residential,2991960,,crossing.csv,,,,,
Hopson Road,43.70897620841756,-72.31817585,unclassified,392991,,crossing.csv,,,,,
Horse Creek Road,36.0631854,-82.6430459,track,2007647,FS 94,crossing.csv,,,,,
Hortontown Road,41.514080828025754,-73.79169672,residential,2007688,,crossing.csv,,,,,
Hosner Mountain Road,41.54091357124925,-73.75302173,residential,2007688,,crossing.csv,,,,,
Housatonic River Road,41.9591942,-73.3730276,residential,3352289,,crossing.csv,,,,,
Housatonic River Road,41.96355925569099,-73.37267943,residential,3352289,,crossing.csv,,,,,
Howard Harrison Road,36.217415376802016,-82.03830152,track,2007647,FS 293,crossing.csv,,,,,
Hoyt Road,41.6410457,-73.520087,residential,3352289,,crossing.csv,,,,,
Huff Hill,35.89184127637658,-82.82942148,residential,2007647,,crossing.csv,,,,,
Hughes Gap Road,36.13678041765341,-82.14079479,residential,2007647,,crossing.csv,,,,,
Hurds Corner Road,41.5941221,-73.5836422,residential,2007688,,crossing.csv,,,,,
Hurricane Gap Road,35.9356925,-82.8058633,unclassified,2007647,FS 467,crossing.csv,,,,,
Hutchison Road,37.387723549085436,-80.46916701,unclassified,2007649,SR 632,crossing.csv,,,,,
Illsley Road,43.7186947,-72.3940633,track,392991,,crossing.csv,,,,,
Indian Gap Road Parking,35.60936329999999,-83.4465428,service,2007647,,crossing.csv,,,,,
Indian Grave Gap Road,34.79286688254061,-83.7142958,track,2007643,,crossing.csv,,,,,
Inn Road,40.38230000000003,-77.030177,residential,394916,,crossing.csv,,,,,
Inn Road,40.384156800000106,-77.0311694,residential,394916,,crossing.csv,,,,,
IP Road,43.09994396574115,-72.94638164,track,392991,USFS 341,crossing.csv,,,,,
IP Road,43.0686675,-72.9489862,track,392991,USFS 341,crossing.csv,,,,,
Iron Mountain Road,41.203654,-74.410153,track,2007688,,crossing.csv,,,,,
Island Pond Road,41.26110966038557,-74.14049942,service,2007688,,crossing.csv,,,,,
Jackson Brook Lane,45.28354123828638,-69.56194626,residential,2007932,,crossing.csv,,,,,
Jacobs Ladder Road,42.29148370727127,-73.15745916,primary,2991960,US 20,crossing.csv,,,,,
Jeb Stuart Highway,36.62840932680349,-81.77661329,trunk,2007649,US 58;VA 91,crossing.csv,,,,,
